transaction_id,customer_id,transaction_date,product_id,quantity,unit_price,total_amount
T0001,C048,2024-08-19,P050,1,78,78
T0001,C048,2024-08-19,P043,2,35,70
T0001,C048,2024-08-19,P049,1,120,120
T0002,C012,2024-11-18,P044,2,95,190
T0002,C012,2024-11-18,P050,1,78,78
T0002,C012,2024-11-18,P049,3,120,360
T0002,C012,2024-11-18,P042,1,145,145
T0002,C012,2024-11-18,P041,2,85,170
T0002,C012,2024-11-18,P043,1,35,35
T0003,C031,2024-09-22,P041,2,85,170
T0003,C031,2024-09-22,P044,1,95,95
T0003,C031,2024-09-22,P043,1,35,35
T0004,C002,2024-09-07,P050,2,78,156
T0004,C002,2024-09-07,P049,2,120,240
T0004,C002,2024-09-07,P019,3,78,234
T0004,C002,2024-09-07,P021,3,130,390
T0004,C002,2024-09-07,P018,2,95,190
T0004,C002,2024-09-07,P043,3,35,105
T0005,C035,2024-11-17,P007,1,72,72
T0005,C035,2024-11-17,P004,3,38,114
T0005,C035,2024-11-17,P003,2,45,90
T0006,C003,2024-07-26,P035,3,180,540
T0006,C003,2024-07-26,P034,1,120,120
T0006,C003,2024-07-26,P037,2,35,70
T0006,C003,2024-07-26,P039,3,30,90
T0006,C003,2024-07-26,P036,1,95,95
T0006,C003,2024-07-26,P019,2,78,156
T0006,C003,2024-07-26,P021,1,130,130
T0006,C003,2024-07-26,P018,3,95,285
T0006,C003,2024-07-26,P038,2,42,84
T0006,C003,2024-07-26,P040,1,55,55
T0007,C034,2025-03-03,P035,1,180,180
T0007,C034,2025-03-03,P047,3,180,540
T0007,C034,2025-03-03,P045,2,65,130
T0007,C034,2025-03-03,P034,3,120,360
T0007,C034,2025-03-03,P036,2,95,190
T0007,C034,2025-03-03,P046,3,88,264
T0008,C008,2024-11-01,P037,2,35,70
T0008,C008,2024-11-01,P039,3,30,90
T0008,C008,2024-11-01,P013,2,150,300
T0008,C008,2024-11-01,P019,3,78,234
T0008,C008,2024-11-01,P021,3,130,390
T0008,C008,2024-11-01,P018,1,95,95
T0008,C008,2024-11-01,P020,3,65,195
T0008,C008,2024-11-01,P040,3,55,165
T0009,C020,2024-12-25,P044,3,95,285
T0009,C020,2024-12-25,P007,3,72,216
T0009,C020,2024-12-25,P005,2,55,110
T0009,C020,2024-12-25,P003,2,45,90
T0009,C020,2024-12-25,P019,2,78,156
T0009,C020,2024-12-25,P021,2,130,260
T0009,C020,2024-12-25,P018,3,95,285
T0009,C020,2024-12-25,P041,1,85,85
T0009,C020,2024-12-25,P043,3,35,105
T0010,C031,2024-08-26,P024,1,30,30
T0010,C031,2024-08-26,P025,3,28,84
T0010,C031,2024-08-26,P032,2,25,50
T0010,C031,2024-08-26,P001,1,62,62
T0010,C031,2024-08-26,P031,1,38,38
T0010,C031,2024-08-26,P029,1,28,28
T0010,C031,2024-08-26,P011,1,48,48
T0010,C031,2024-08-26,P002,1,32,32
T0010,C031,2024-08-26,P026,1,42,42
T0011,C031,2024-07-08,P024,1,30,30
T0011,C031,2024-07-08,P037,1,35,35
T0011,C031,2024-07-08,P039,3,30,90
T0011,C031,2024-07-08,P040,3,55,165
T0011,C031,2024-07-08,P021,1,130,130
T0011,C031,2024-07-08,P018,1,95,95
T0011,C031,2024-07-08,P038,2,42,84
T0011,C031,2024-07-08,P032,1,25,25
T0011,C031,2024-07-08,P026,1,42,42
T0012,C045,2025-02-21,P007,2,72,144
T0012,C045,2025-02-21,P001,1,62,62
T0012,C045,2025-02-21,P005,2,55,110
T0012,C045,2025-02-21,P003,3,45,135
T0013,C034,2025-03-14,P035,3,180,540
T0013,C034,2025-03-14,P034,2,120,240
T0013,C034,2025-03-14,P022,3,120,360
T0013,C034,2025-03-14,P019,2,78,156
T0013,C034,2025-03-14,P036,1,95,95
T0013,C034,2025-03-14,P021,3,130,390
T0013,C034,2025-03-14,P018,2,95,190
T0014,C029,2024-10-11,P041,2,85,170
T0014,C029,2024-10-11,P016,2,52,104
T0014,C029,2024-10-11,P044,1,95,95
T0014,C029,2024-10-11,P043,3,35,105
T0015,C019,2024-09-29,P037,2,35,70
T0015,C019,2024-09-29,P015,3,45,135
T0015,C019,2024-09-29,P019,1,78,78
T0015,C019,2024-09-29,P021,3,130,390
T0015,C019,2024-09-29,P018,1,95,95
T0015,C019,2024-09-29,P020,1,65,65
T0015,C019,2024-09-29,P038,2,42,84
T0015,C019,2024-09-29,P016,2,52,104
T0016,C022,2025-03-05,P007,3,72,216
T0016,C022,2025-03-05,P005,3,55,165
T0016,C022,2025-03-05,P037,1,35,35
T0016,C022,2025-03-05,P039,3,30,90
T0016,C022,2025-03-05,P003,2,45,90
T0016,C022,2025-03-05,P021,2,130,260
